correct_YN,ID,CUI,concept,matched_text,n_alias_forms,train_freq,caption,stratum
Y,ROCOv2_2023_test_007602,C0152279,Lateral ventricle structure,lateral ventricle,8,18,"MRI brain with contrast in a T2-weighted axial view. The axial view shows contrast hemorrhagic transformation with a signal alteration involving the right limbic system, right fornix, and right optic radiation. Mild effacement of the right lateral ventricle and minimal leftward midline shift. ",rare
Y,ROCOv2_2023_test_001102,C0001527,Adipose tissue,fat,17,11,Findings of T1‐weighted orbital magnetic resonance imaging with contrast enhancement and fat suppression on admission. T1‐weighted orbital imaging with contrast enhancement and fat suppression using volumetric interpolated breath‐hold examination sequences shows swollen enhanced lesion in the left optic nerve (arrow),short/abbrev
Y,ROCOv2_2023_test_007326,C0000726,Abdomen,abdomen; abdomen and,10,565,Computed tomography (CT) scan of abdomen and pelvis showing a septated hypodense lesion of 4.8 x 4.5 cm in central liver (arrow).,multi-token
Y,ROCOv2_2023_test_002636,C0034052,Pulmonary artery structure,pulmonary artery,14,111,"Main pulmonary artery angiography showing successful coil embolization of the left pulmonary artery. No contrast is seen past the coil mass, and the left pulmonary artery pseudoaneurysm is no longer visualized.",negation-context
Y,ROCOv2_2023_test_001996,C0443294,Ruptured behavior,rupture,2,13,"In the ultrasound examination performed at the 32nd week of gestation, the allantoic cyst was no longer visible and replaced by an omphalocele of 35 × 31 millimeters, secondary to the cyst's rupture.",negation-context
Y,ROCOv2_2023_test_002058,C0026845,Muscle Tissue,muscle,5,62,Fluoroscopic image of the piriformis muscle after contrast injection.,rare
N,ROCOv2_2023_test_007130,C0205129,Sagittal,sagittal,1,325,Initial diagnostic cerebral angiogram.Initial diagnostic cerebral angiogram revealing grade 4 left frontoparietal arteriovenous malformation (AVM) (black arrow) fed by the left anterior cerebral artery (orange arrow) and the superior division of the left middle cerebral artery (red arrow) and drained by superficial veins to the superior sagittal sinus (blue arrow).,frequent
Y,ROCOv2_2023_test_005151,C0018787,Heart,Coronary,8,210,Coronary angiography of the first spontaneous coronary artery dissection showing a long stenosis of the mid-distal portion of the left anterior coronary artery,frequent
,ROCOv2_2023_test_008441,C0037303,Bone structure of cranium,cranial,12,391,"Left latero‐lateral image of the craniodorsal abdomen, cranial is to the left, image from day 5. Air enclosed in the abdominal cavity creates a radiolucency dorsal to radiopaque and irregularly contoured intestine and ventral to the vertebral column",frequent
,ROCOv2_2023_test_003010,C0020888,Iliac Vein,iliac vein,3,3,"The CT examination of the lower extremity veins showed implantation of the inferior vena cava filter, inferior vena cava and bilateral external iliac vein thrombosis, and bilateral internal iliac vein thrombosis.",rare
,ROCOv2_2023_test_002220,C0001527,Adipose tissue,fat,17,11,"Axial computer tomography (CT) shows thickening of the skin, the subcutaneous fat and the cartilages of the nose.",short/abbrev
,ROCOv2_2023_test_002836,C0002978,angiogram,angiography,10,420,"A coronal view of computed tomography angiography scan, showing complete canalization of the thrombus in the left vertebral artery 7 days post initiation of therapy.",frequent
,ROCOv2_2023_test_006919,C0205106,Transverse - anatomical location,transversal,10,9,"A complex nonseptated pleural exudate in a patient with pneumonia, measured by two orthogonal views (longitudinal and transversal), viewed by longitudinal scan using a convex multifrequency probe (3.5 MHz).",rare
,ROCOv2_2023_test_006257,C0817096,Chest,thoracic,12,1345,"Sagittal T2 weighted Magnetic Resonance Imaging (MRI) of the cervical and upper thoracic spinal cord revealed a contiguous T2 brightness throughout most of the cervical spinal cord and the top half of the thoracic cord (over ten segments), representing a longitudinally extensive lesion/transverse myelitis, a finding characteristic of NMOSD and not typically seen in multiple sclerosis. NMOSD, neuro",negation-context
,ROCOv2_2023_test_000160,C2317432,Effusion (substance),effusion,1,3,"Infection with human immunodeficiency virus (HIV) is the strongest known risk factor for active tuberculosis (TB), and the risk of developing active TB in people living with HIV (PLWH) is 15–22 times higher than in people without HIV [1]. Active TB may develop at any stage of HIV infection, but the risk correlates negatively with CD4+ cells count. TB is the leading cause of morbidity, hospitalisat",negation-context
,ROCOv2_2023_test_007130,C0149561,Structure of anterior cerebral artery,anterior cerebral artery,8,5,Initial diagnostic cerebral angiogram.Initial diagnostic cerebral angiogram revealing grade 4 left frontoparietal arteriovenous malformation (AVM) (black arrow) fed by the left anterior cerebral artery (orange arrow) and the superior division of the left middle cerebral artery (red arrow) and drained by superficial veins to the superior sagittal sinus (blue arrow).,multi-token
,ROCOv2_2023_test_006975,C0000726,Abdomen,Abdominal,10,565,Abdominal and pelvic CT scan demonstrating kidney enlargement with calyceal dilatation,frequent
,ROCOv2_2023_test_006354,C0205129,Sagittal,Sagittal,1,325, Sagittal view of T2 weighted magnetic resonance imaging. The arrow shows severe canal stenosis at L4/5.,frequent
,ROCOv2_2023_test_006287,C0032743,Positron-Emission Tomography,PET; PET scan; positron emission tomography,23,83,"PET scan demonstrating resolution of lesion seen in Figure 2 after 9 months of immunotherapy with pembrolizumab. PET, positron emission tomography",multi-token
,ROCOv2_2023_test_003757,C1996865,Postero-Anterior,PA,2,465,"Contrast-enhanced computed tomography showing the current anatomy of the heart. CT, computed tomography; LV, left ventricle; PA, pulmonary artery; RA, right atrium; RV, right ventricle.",short/abbrev
,ROCOv2_2023_test_003485,C0205129,Sagittal,Sagittal,1,325,Sagittal CT showing a retrovascular retrosternal goitre.,frequent
,ROCOv2_2023_test_007402,C0015392,Eye,globe; optic,15,2,"Non-contrast CT of the orbits demonstrating possible incomplete transection or compression injury of the right intraorbital optic nerve in the absence of orbital wall fractures, globe damage, or luxation.",negation-context
,ROCOv2_2023_test_002286,C0035561,Bone structure of rib,rib,7,1,Transverse diameter of pedicle rib complex.,short/abbrev
,ROCOv2_2023_test_007322,C0205106,Transverse - anatomical location,transverse; transverse plane,10,9,Abdominal CT-Scan in the transverse plane showing a large subcapsular liver infiltrate consistent with a hematoma. The capsule is intact.,multi-token
,ROCOv2_2023_test_000160,C0229664,peripheral blood,Blood,7,11,"Infection with human immunodeficiency virus (HIV) is the strongest known risk factor for active tuberculosis (TB), and the risk of developing active TB in people living with HIV (PLWH) is 15–22 times higher than in people without HIV [1]. Active TB may develop at any stage of HIV infection, but the risk correlates negatively with CD4+ cells count. TB is the leading cause of morbidity, hospitalisat",negation-context
,ROCOv2_2023_test_005259,C0000726,Abdomen,Abdominal,10,565,Abdominal computed tomography showing large hepatocellular carcinoma before atezolizumab plus bevacizumab treatment.,frequent
,ROCOv2_2023_test_006452,C2973725,Pulmonary arterial hypertension,pulmonary arterial hypertension,7,0,"Computed tomography (CT) scan of the chest. The sagittal CT image shows dilation of the main pulmonary artery and enlargement of the right ventricle, consistent with typical idiopathic pulmonary arterial hypertension findings. Dilation of the pulmonary artery results in the narrowing of the space between the pulmonary artery and aorta (red arrow) and causes compression of the recurrent laryngeal n",multi-token
,ROCOv2_2023_test_008766,C0000726,Abdomen,abdomen; abdomen and,10,565, Computed tomography abdomen and pelvis with intravenous contrast with moderate wall thickening of the small bowel loops and colon extending from the cecum to the transverse colon.,multi-token
,ROCOv2_2023_test_007308,C0003615,Appendicitis,acute appendicitis; appendicitis,4,4,"CT abdomen/pelvis showing a dilated, fluid-filled appendix with an appendicolith at the proximal aspect in keeping with acute appendicitis.",multi-token
,ROCOv2_2023_test_008943,C0446435,L5 level,L5,3,2,MRI of the lumbar spine before treatment showing bulging of the discs between L5 and L2 region,short/abbrev
,ROCOv2_2023_test_006408,C0019552,Hip structure,hip,8,9,"Plain radiograph image, which is used in task 5, showing fractured neck of left hip (femur) (A) and pelvis (pubic rami) (B).",short/abbrev
,ROCOv2_2023_test_004473,C0022646,Kidney,renal,11,52,Sagittal postcontrast CT image displaying the close proximity of the left adrenal mass (*) with the left renal vein (white arrow) and caudal vena cava (black arrow),rare
,ROCOv2_2023_test_006532,C0022646,Kidney,kidney,11,52,Non-contrast x-ray showed an almost complete staghorn stone in the right kidney and a sizeable upper ureter stone.,rare
,ROCOv2_2023_test_001235,C0001168,Complete obstruction,occlusion,4,42,Case 2: Coronary angiogram in right anterior oblique caudal view of the LCA. An occlusion is seen in the distal part of the RCx (red circle).,rare
,ROCOv2_2023_test_005177,C4281590,Structure of middle lobe of right lung,middle lobe,21,16,Frontal CT scan of the chest. A bulky and partially calcified mass originating from the anterior mediastinum and expanding into the right hemithorax is seen. The multi-chambered appearance of the mass appears similar to that observed on chest ultrasound. The mass caused a shift of the mediastinal structures to the left and compression of the right lung parenchyma. The middle lobe bronchus was not ,negation-context
,ROCOv2_2023_test_006723,C0027530,Neck,cervical,6,115,MR cervical spine with contrast shows mild C5-C6 disk bulge. The image shows a T2-weighted FLAIR sequence taken on a 1.5-Tesla scanner. Dotarem intravenous contrast (12 mL) was administered using MR cervical spine protocols. There is a normal anatomic alignment of the cervical spine and no evidence of focal disk herniation or cord compression. The intervertebral disc heights and signals are mainta,negation-context
,ROCOv2_2023_test_000432,C0180499,Drain device,drained,4,17,"Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery",rare
,ROCOv2_2023_test_005869,C0446413,C3 level,C3,3,4,latero- lateral radiograph of the mid to caudal cervical third. Cranial is to the left. Caudal C3 to cranial C6 are depicted. There is a partially well delineated soft tissue dense mass ventral (*) to the junction of C4 to C5 with a mild mass effect to the trachea,short/abbrev
,ROCOv2_2023_test_001221,C0007799,Cerebral Ventricles,ventricle,15,10,POCUS showing a dilated cardiomyopathy evident in the apical four-chamber view. RV: right ventricle; LV: left ventricle; RA: right atrium; LA: left atrium,rare
,ROCOv2_2023_test_001286,C0000726,Abdomen,abdomen,10,565,Contrast-enhanced CT abdomen coronal section showing a collection and air focus along the right psoas muscle. CT: computed tomography,frequent
,ROCOv2_2023_test_008505,C0001527,Adipose tissue,Fat,17,11,MRI- Fat suppression (FS) image showing extra-conal left orbital involvement,short/abbrev
,ROCOv2_2023_test_007719,C0013687,effusion,effusion,4,43,"Case 8. Echocardiography shows normal LV size and function, without regional wall motion abnormalities, and a circumferential pericardial effusion without significant respiratory variation on mitral and tricuspid valves",negation-context
,ROCOv2_2023_test_008117,C0001527,Adipose tissue,fat,17,11,"Bilateral infiltration of the orbital fat pad in a patient with OAL (axial CT scan with contrast agent, soft tissue window).",short/abbrev
,ROCOv2_2023_test_007601,C0006104,Brain,brain,5,150,Repeat CT brain without contrast. CT brain without contrast shows a new ill-defined hypoattenuation intermixed with bandlike curvilinear hyper attenuation in the right medial temporal lobe (red arrows). ,negation-context
,ROCOv2_2023_test_004335,C0040132,Thyroid Gland,thyroid,8,48,"Intracystic nonshadowing echogenic foci in a partially cystic nodule of minimally invasive follicular thyroid cancer.Transverse ultrasonography shows a predominantly cystic nodule with numerous intracystic punctate echogenic foci without comet tail artifacts and with triangular comet tail artifacts (tail size, 1.4 mm, 1.1 mm) (arrows).",negation-context
,ROCOv2_2023_test_003010,C0226761,Structure of external iliac vein,external iliac vein,3,4,"The CT examination of the lower extremity veins showed implantation of the inferior vena cava filter, inferior vena cava and bilateral external iliac vein thrombosis, and bilateral internal iliac vein thrombosis.",multi-token
,ROCOv2_2023_test_008785,C0006104,Brain,Cerebral,5,150,"Cerebral CT, axial slice, without injection of contrast.Left deep parietal hematoma (green arrow), with perilesional edema (white arrow) and right falcique engagement.CT: computed tomography",negation-context
,ROCOv2_2023_test_000479,C1996865,Postero-Anterior,PA,2,465,Limited echocardiogram following tPA therapy showing complete resolution of the intracardiac masst. PA: tissue plasminogen activator,short/abbrev
,ROCOv2_2023_test_004018,C0001527,Adipose tissue,fat,17,11,CT chest-abdomen-pelvis with IV contrast Acute pancreatitis with peripancreatic edema and fat stranding (white arrows). No peripancreatic collection or evidence of necrosis.,short/abbrev
,ROCOv2_2023_test_001601,C0007799,Cerebral Ventricles,ventricle,15,10,Midesophageal aortic valve long-axis view. Echo dense image (red arrow) posteriorly located to the mechanical aortic valve extending toward the roof wall of the LA. Color Doppler shows an accelerated flow in the midcavity of LA. There is no flow inside the intramural hematoma or communication with LA or pericardial space. ∗Left atrium. ∗∗Left ventricle. ∗∗∗Aorta and aortic prosthetic valve.,negation-context
,ROCOv2_2023_test_008490,C0040405,X-Ray Computed Tomography,CT,78,3621,Control native chest CT visualizing the correct position of the stent.,short/abbrev
,ROCOv2_2023_test_003179,C0007272,Carotid Arteries,carotid; carotid artery,6,30,68-year-old male with bilateral BCVI and major thoracic injuries following a motor vehicle accident. Axial multidetector CT angiographic image shows bilateral distal cervical internal carotid artery dissection.,multi-token
,ROCOv2_2023_test_009696,C0000833,Abscess,abscess,4,33,"MRI of spine with and without contrast showing C3-C4 discitis-osteomyelitis (black arrow), with associated epidural abscess (day 9 of hospitalization).",negation-context
,ROCOv2_2023_test_007095,C1134719,Invasive Ductal Breast Carcinoma,invasive ductal breast cancer,34,2,39-year-old woman with TNBC (invasive ductal breast cancer). A cystic-solid lesion with irregular mass.,multi-token
,ROCOv2_2023_test_001643,C0205042,Coronary artery,coronary artery,9,16,Coronary angiogram demonstrating no significant obstruction in the left coronary artery circulation. Left main coronary artery was patent. Left anterior descending artery had mild luminal irregularities. Diagonal branches were patent. Left circumflex artery was codominant vessel which had mild luminal irregularities. Obtuse marginal branches were patent.,negation-context
,ROCOv2_2023_test_009058,C0000726,Abdomen,Abdominal,10,565,Abdominal contrast-enhanced computed tomography. The arterial phase of abdominal contrast-enhanced computed tomography revealed a lobulated polyp 10 mm in size in the fundus of the gallbladder as a hyper-enhanced lesion.,frequent
,ROCOv2_2023_test_003265,C0225758,Structure of lower lobe of lung,lower lobes,12,11,"A 70-year-old man with a 7-day history of fever, dyspnea, and productive cough in the second month post-transplantation. CT scan showing airspace consolidations in both lower lobes. The laboratory investigation of the etiologic agent was inconclusive.",rare
,ROCOv2_2023_test_005217,C0019552,Hip structure,hip,8,9,"Anteroposterior pelvic radiograph of an infant with unilateral left-sided developmental dysplasia of the hip classified as grade 3B according to the upgraded form of the International Hip Dysplasia Institute classification where the A-point is above the A-line (black dot, H-point).",short/abbrev
,ROCOv2_2023_test_008101,C0000726,Abdomen,abdomen; abdomen and,10,565,CT scan of the abdomen and pelvis with intravenous contrast demonstrating mild compression of the celiac artery.,multi-token
,ROCOv2_2023_test_008397,C0020564,Hypertrophy,Hypertrophic,5,18,"Hypertrophic pyloric stenosis. Gastric POCUS consisted of the measurements of pylorus muscle thickness and length, and HPS diagnosis was confirmed if they were >3 and 15 mm, respectively. A 6–10 MHz linear probe in a transverse position allows identifying the gallbladder in the supine position. The pylorus is usually located slightly medial and posterior in relation to the gallbladder.",rare
,ROCOv2_2023_test_004515,C0018787,Heart,heart,8,210,"Chest X-ray taken on initial presentation in the Emergency Room. There was no evidence of cardiomegaly, interstitial or lobar infiltrates, cephalization of pulmonary vessels, or other findings consistent with heart failure.",negation-context
,ROCOv2_2023_test_009103,C0205129,Sagittal,sagittal,1,325,Preoperative T2-weighted MRI of the lumbar spine - sagittal view,frequent
,ROCOv2_2023_test_003771,C2939419,Secondary Neoplasm,metastasis,17,40,"T2w axial MRI of the left thigh in a 54-year-old male, affected by synovial sarcoma with multiple lung metastasis at diagnosis, showed a large inhomogeneous mass with the so-called “triple sign”: fibrotic areas (low signal intensity — arrow), solid cellular elements (intermediate signal — arrowhead), and hemorrhage/necrosis areas (high signal intensity — asterisks)",rare
,ROCOv2_2023_test_008217,C0332459,Compressed structure,compression,6,74,Exemplary image seen during USG examination of Carpal Tunnel Syndrome. CTS—dotted line; Medial Nerve (MN)—contours; 1—nerve dilatation before carpal tunnel; 2—nerve compression in carpal tunnel; longitudinal cross section.,rare
,ROCOv2_2023_test_005055,C0205129,Sagittal,Sagittal,1,325,Sagittal contrast MRI in T1 fat saturation weighing: Full path of fistula from L5-S1 (yellow arrow) to the vagina. The fistula (red arrow) presents with a hyperintense wall surrounding a hypointense lumen.,frequent
,ROCOv2_2023_test_008574,C0027651,Neoplasms,tumor,13,150,"Abdominal ultrasonography revealed a large mass centered in her lower abdomen. The tumor border was clear, the internal structure was heterogeneous and the blood flow was poor.",rare
,ROCOv2_2023_test_000014,C0007276,Internal carotid artery structure,Internal Carotid Artery,10,18,"DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.",multi-token
,ROCOv2_2023_test_006563,C0001527,Adipose tissue,fat,17,11,"One 2D ROI was placed in the right lobe of the liver in the IDEAL-IQ fat fraction image while carefully avoiding large vessels, bile ducts, and lesions. 2D, 2-dimensional.",short/abbrev
,ROCOv2_2023_test_000432,C0226037,Structure of circumflex branch of left coronary artery,circumflex artery; left circumflex artery,13,27,"Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery",multi-token
,ROCOv2_2023_test_008540,C0000726,Abdomen,abdomen,10,565,Axial view of an MRI abdomen T-1 weighted imaging taken one minute post contrast showing a hepatic lesion with peripheral enhancement (white arrow)MRI: Magnetic Resonance Imaging,frequent
,ROCOv2_2023_test_009578,C0225758,Structure of lower lobe of lung,lower lobe; lower lobe of lung,12,11,"The nodule in the right lower lobe of lung, with clear margin.",multi-token
,ROCOv2_2023_test_007402,C0027740,Nerve,nerve,8,13,"Non-contrast CT of the orbits demonstrating possible incomplete transection or compression injury of the right intraorbital optic nerve in the absence of orbital wall fractures, globe damage, or luxation.",negation-context
,ROCOv2_2023_test_005127,C0149566,Structure of middle cerebral artery,middle cerebral artery,9,10,3D time of flight MRA of the intracranial vessels demonstrates paucity of the distal branches of the left middle cerebral artery and mild irregularity along the M1 segment of the left MCA (White arrow).,multi-token
,ROCOv2_2023_test_002125,C0007272,Carotid Arteries,carotid; carotid artery,6,30,CT angiography of the head shows a high-grade luminal narrowing of mid and distal left internal carotid artery. Arrow points to left internal carotid artery with 80% luminal narrowing.,multi-token
,ROCOv2_2023_test_004617,C0446417,C7 level,C7,3,2,"A repeat radiograph taken nine months later demonstrates significant improvement in the majority of the spinal deformity. The C7 plumb line (red line) is drawn caudally from the C7 vertebra's center. The line should be parallel to or within 5 mm of S1's superior-posterior endplate. In a well-aligned subject, the line of COG (yellow line) has improved in the sagittal plane.",short/abbrev
,ROCOv2_2023_test_009180,C0002978,angiogram,angiography,10,420, CT pulmonary angiography with contrast showing hilar and mediastinal lymphadenopathy (red arrow).,frequent
,ROCOv2_2023_test_001267,C0027651,Neoplasms,tumor,13,150,"Cystic duct carcinoma in a 67-year-old male with abdominal pain.A mass lesion near the gallbladder was found on ultrasonography during an annual medical checkup. Laboratory test results, including tumor markers, were negative. Contrast-enhanced computed tomography demonstrates enhanced circumferential wall thickening in the cystic duct (arrow) with gallbladder enlargement. Open cholecystectomy was",negation-context
,ROCOv2_2023_test_000609,C0332448,Infiltration,infiltrates,6,63,Chest X-ray after intubation showing right lower lobe infiltrates and effusions.,rare
,ROCOv2_2023_test_005205,C0444611,Fluid behavior,fluid,3,255,Sagittal-reformatted abdomen CT image of a 22-year-old female with lower abdominal pain and fever obtained after C/S surgery. The uterus is enlarged due to prior pregnancy. Free fluid is noted in the pelvis (arrows). Tuberculous pelvic inflammatory disease,frequent
,ROCOv2_2023_test_007835,C1261075,Structure of right lower lobe of lung,right lower lobe,14,61,Plain chest CT image shows a ground glass opacity nodule (red arrow) in the right lower lobe of the lung,multi-token
,ROCOv2_2023_test_003309,C0000726,Abdomen,abdominal,10,565,Ascending colon mass with fistulous connection to the anterior abdominal wall shown as arrows.,frequent
,ROCOv2_2023_test_002644,C0022408,Arthropathy,arthropathy,21,2,Plain AP radiograph of a left shoulder with cuff tear arthropathy.,rare
,ROCOv2_2023_test_009613,C0006104,Brain,brain,5,150,CT brain axial view: minimal left chronic residual subdural hematoma with no significant mass effect or midline shift.,negation-context
,ROCOv2_2023_test_001699,C0817096,Chest,chest,12,1345,CT scan of the chest with contrast showing multifocal infiltrates throughout the lungs (arrows)CT: computed tomography,frequent
,ROCOv2_2023_test_001422,C0042459,Superior vena cava structure,superior vena cava,7,34,"Drainage of the hemiazygos vein in the persistent left superior vena cava (PLSVC). (PLSVC—persistent left superior vena cava, Ao—Aorta, Pa—Pulmonary asrtery, Ha—hemiazygos vein).",multi-token
